scenario,added_indicators,top4_same,top4,base_GOV,base_CONN,base_SKILL,base_AFFORD,base_TRUST,base_ADOPT,score_GOV,score_CONN,score_SKILL,score_AFFORD,score_TRUST,score_ADOPT,rank_GOV,rank_CONN,rank_SKILL,rank_AFFORD,rank_TRUST,rank_ADOPT
reference,,1,ADOPT;CONN;GOV;SKILL,0.8,1.0,0.9975866666666666,0.0882352941176469,0.6666666666666667,0.9472571428571428,0.8990601760586032,0.963321141632871,1.0,0.24858434972502252,0.7194895861553061,0.8295307893132038,3,2,1,6,5,4
add_feedback_30d,RF24,0,ADOPT;CONN;SKILL;TRUST,0.4,1.0,0.9975866666666666,0.0882352941176469,0.6666666666666667,0.9472571428571428,0.6438778173185743,0.9694984654463144,1.0,0.23884803696841406,0.7155968812229168,0.8469414318936473,5,2,1,6,4,3
add_training_satisfaction,RF23,1,ADOPT;CONN;GOV;SKILL,0.8,1.0,0.9987933333333333,0.0882352941176469,0.6666666666666667,0.9472571428571428,0.8984315015866069,0.9626131121468277,1.0,0.24843376717162222,0.7189671571591614,0.8288863632107867,3,2,1,6,5,4
add_broadband_CRI,RF11,1,ADOPT;CONN;GOV;SKILL,0.8,1.0,0.9975866666666666,0.0882352941176469,0.6666666666666667,0.9472571428571428,0.8990601760586032,0.963321141632871,1.0,0.24858434972502252,0.7194895861553061,0.8295307893132038,3,2,1,6,5,4
add_digital_services_CRI,RF14,1,ADOPT;CONN;GOV;SKILL,0.8,1.0,0.9975866666666666,0.0882352941176469,0.6666666666666667,0.9648380952380952,0.8991740937870272,0.963312743119524,1.0,0.2488315784594181,0.719673827072323,0.8407630706480409,3,2,1,6,5,4
add_PDO_adoption_total,RF06,1,ADOPT;CONN;GOV;SKILL,0.8,1.0,0.9975866666666666,0.0882352941176469,0.6666666666666667,0.9648380952380952,0.8991740937870272,0.963312743119524,1.0,0.2488315784594181,0.719673827072323,0.8407630706480409,3,2,1,6,5,4
add_productive_partnerships,RF08,1,ADOPT;CONN;GOV;SKILL,0.8,1.0,0.9975866666666666,0.0882352941176469,0.6666666666666667,0.9648380952380952,0.8991740937870272,0.963312743119524,1.0,0.2488315784594181,0.719673827072323,0.8407630706480409,3,2,1,6,5,4
add_conditional_ratios,RF23;RF24,0,ADOPT;CONN;SKILL;TRUST,0.4,1.0,0.9987933333333333,0.0882352941176469,0.6666666666666667,0.9472571428571428,0.6434472213681292,0.9687506528792764,1.0,0.23869888772257472,0.7150526645698261,0.8462502412424098,5,2,1,6,4,3
add_all_gender_subindicators,RF02;RF05;RF07;RF09;RF13;RF16;RF20,1,ADOPT;CONN;GOV;SKILL,0.8,1.0,0.7987933333333332,0.0882352941176469,0.6666666666666667,0.8407523809523809,0.9268651343401628,1.0,0.9089569298050217,0.2507979321452517,0.7445326295921199,0.7946348753559092,2,1,3,6,5,4
expanded_non_disaggregated,RF06;RF08;RF11;RF14;RF23;RF24,0,ADOPT;CONN;SKILL;TRUST,0.4,1.0,0.9987933333333333,0.0882352941176469,0.6666666666666667,0.9789028571428571,0.6441112881192579,0.9687252838844841,1.0,0.23918202616130563,0.7154075592874507,0.867381435518555,5,2,1,6,4,3
