risk_flipped,objective_flipped,new_value,top4_same,rank_GOV,rank_CONN,rank_SKILL,rank_AFFORD,rank_TRUST,rank_ADOPT
GOV,O1,0,1,3,2,1,6,5,4
GOV,O2,0,1,3,2,1,6,5,4
GOV,O3,0,1,3,2,1,6,5,4
GOV,O4,0,1,3,2,1,6,5,4
GOV,O5,0,1,3,2,1,6,5,4
GOV,O6,0,1,3,2,1,6,5,4
GOV,O7,0,1,3,2,1,6,5,4
CONN,O1,1,1,3,1,2,6,5,4
CONN,O2,0,1,3,2,1,6,5,4
CONN,O3,0,1,3,2,1,6,5,4
CONN,O4,1,1,3,1,2,6,5,4
CONN,O5,0,1,2,3,1,6,5,4
CONN,O6,0,1,2,3,1,6,5,4
CONN,O7,1,1,3,2,1,6,5,4
SKILL,O1,1,1,3,2,1,6,5,4
SKILL,O2,0,1,3,2,1,6,5,4
SKILL,O3,0,1,3,2,1,6,5,4
SKILL,O4,0,1,3,1,2,6,5,4
SKILL,O5,0,1,3,1,2,6,5,4
SKILL,O6,0,1,3,1,2,6,5,4
SKILL,O7,1,1,3,2,1,6,5,4
AFFORD,O1,1,1,3,2,1,6,5,4
AFFORD,O2,0,1,3,2,1,6,5,4
AFFORD,O3,1,1,3,2,1,6,5,4
AFFORD,O4,1,1,3,2,1,6,5,4
AFFORD,O5,1,1,3,2,1,6,5,4
AFFORD,O6,0,1,3,2,1,6,5,4
AFFORD,O7,1,1,3,2,1,6,5,4
TRUST,O1,0,1,3,2,1,6,5,4
TRUST,O2,1,1,3,2,1,6,5,4
TRUST,O3,1,1,3,2,1,6,5,4
TRUST,O4,0,1,3,2,1,6,5,4
TRUST,O5,0,1,3,2,1,6,5,4
TRUST,O6,0,1,3,2,1,6,5,4
TRUST,O7,1,1,3,2,1,6,5,4
ADOPT,O1,1,1,3,2,1,6,5,4
ADOPT,O2,1,1,3,2,1,6,5,4
ADOPT,O3,1,1,3,2,1,6,5,4
ADOPT,O4,1,1,3,2,1,6,5,4
ADOPT,O5,0,1,3,2,1,6,5,4
ADOPT,O6,0,1,3,2,1,6,5,4
ADOPT,O7,1,1,3,2,1,6,5,4
