objective_removed,risk,relative_score,rank
O1,GOV,0.8839270995779214,3
O1,CONN,0.9631805383097357,2
O1,SKILL,1.0,1
O1,AFFORD,0.25214511343851825,6
O1,TRUST,0.6981283825799554,5
O1,ADOPT,0.8276416776325991,4
O2,GOV,0.9021032181176623,3
O2,CONN,0.9547655436028193,2
O2,SKILL,1.0,1
O2,AFFORD,0.19666398482008493,6
O2,TRUST,0.7687500975165722,5
O2,ADOPT,0.8665024169150737,4
O3,GOV,0.8985028673088014,3
O3,CONN,0.9575035745994258,2
O3,SKILL,1.0,1
O3,AFFORD,0.27197491634397225,6
O3,TRUST,0.7590920730822823,5
O3,ADOPT,0.8641987159968804,4
O4,GOV,0.8961830111643817,3
O4,CONN,1.0,1
O4,SKILL,0.9985303175501984,2
O4,AFFORD,0.2700373120375942,6
O4,TRUST,0.7004233226918897,5
O4,ADOPT,0.8562960158395351,4
O5,GOV,0.9032345430376272,3
O5,CONN,0.9512549355422156,2
O5,SKILL,1.0,1
O5,AFFORD,0.31009505744436305,6
O5,TRUST,0.6882619577516648,5
O5,ADOPT,0.7779477210455295,4
O6,GOV,0.9110324807342012,3
O6,CONN,0.9453334304772842,2
O6,SKILL,1.0,1
O6,AFFORD,0.16979972948476615,6
O6,TRUST,0.690365595329565,5
O6,ADOPT,0.7616211877440264,4
O7,GOV,0.8990601760586032,3
O7,CONN,0.963321141632871,2
O7,SKILL,1.0,1
O7,AFFORD,0.24858434972502252,6
O7,TRUST,0.7194895861553061,5
O7,ADOPT,0.8295307893132038,4
