lambda,risk,relative_score,rank
0.0,GOV,0.8,4
0.0,CONN,1.0,1
0.0,SKILL,0.9975866666666666,2
0.0,AFFORD,0.0882352941176469,6
0.0,TRUST,0.6666666666666667,5
0.0,ADOPT,0.9472571428571428,3
0.01,GOV,0.8039003332909676,4
0.01,CONN,1.0,1
0.01,SKILL,0.9987046697709661,2
0.01,AFFORD,0.0929057912043398,6
0.01,TRUST,0.6689803143227009,5
0.01,ADOPT,0.9450059889680157,3
0.02,GOV,0.8077948264504486,4
0.02,CONN,1.0,1
0.02,SKILL,0.9998253432596808,2
0.02,AFFORD,0.09758740256829256,6
0.02,TRUST,0.6712930886001734,5
0.02,ADOPT,0.9427420068186853,3
0.03,GOV,0.8109142523251419,4
0.03,CONN,0.9990522504878823,2
0.03,SKILL,1.0,1
0.03,AFFORD,0.10218315116900109,6
0.03,TRUST,0.6729665409334216,5
0.03,ADOPT,0.939573915270011,3
0.04,GOV,0.8138780446890076,4
0.04,CONN,0.997929747137661,2
0.04,SKILL,1.0,1
0.04,AFFORD,0.10676232011597463,6
0.04,TRUST,0.6745165414898531,5
0.04,ADOPT,0.936233473888038,3
0.05,GOV,0.8168274151071938,4
0.05,CONN,0.9968072235028713,2
0.05,SKILL,1.0,1
0.05,AFFORD,0.11134188288759213,6
0.05,TRUST,0.6760603519252433,5
0.05,ADOPT,0.932885498198812,3
0.06,GOV,0.8197624626651027,4
0.06,CONN,0.9956847250634955,2
0.06,SKILL,1.0,1
0.06,AFFORD,0.11592176670749728,6
0.06,TRUST,0.6775979680033379,5
0.06,ADOPT,0.9295301171520953,3
0.07,GOV,0.8226832854400811,4
0.07,CONN,0.9945622964906903,2
0.07,SKILL,1.0,1
0.07,AFFORD,0.12050189980477075,6
0.07,TRUST,0.6791293859311016,5
0.07,ADOPT,0.9261674581523135,3
0.08,GOV,0.8255899805155582,4
0.08,CONN,0.993439981660627,2
0.08,SKILL,1.0,1
0.08,AFFORD,0.1250822113993124,6
0.08,TRUST,0.6806546023501171,5
0.08,ADOPT,0.9227976470799113,3
0.09,GOV,0.8284826439949391,4
0.09,CONN,0.9923178236680582,2
0.09,SKILL,1.0,1
0.09,AFFORD,0.12966263168747805,6
0.09,TRUST,0.6821736143281436,5
0.09,ADOPT,0.9194208083123461,3
0.1,GOV,0.8313613710152506,4
0.1,CONN,0.9911958648396314,2
0.1,SKILL,1.0,1
0.1,AFFORD,0.1342430918279654,6
0.1,TRUST,0.6836864193508279,5
0.1,ADOPT,0.9160370647447226,3
0.11,GOV,0.8342262557605565,4
0.11,CONN,0.9900741467469429,2
0.11,SKILL,1.0,1
0.11,AFFORD,0.13882352392794395,6
0.11,TRUST,0.6851930153135659,5
0.11,ADOPT,0.9126465378100781,3
0.12,GOV,0.8370773914751377,4
0.12,CONN,0.9889527102193518,2
0.12,SKILL,1.0,1
0.12,AFFORD,0.1434038610294246,6
0.12,TRUST,0.686693400513519,5
0.12,ADOPT,0.909249347499329,3
0.13,GOV,0.8399148704764466,4
0.13,CONN,0.9878315953565443,2
0.13,SKILL,1.0,1
0.13,AFFORD,0.14798403709586302,6
0.13,TRUST,0.6881875736417682,5
0.13,ADOPT,0.9058456123808768,3
0.14,GOV,0.842738784167837,4
0.14,CONN,0.9867108415408626,2
0.14,SKILL,1.0,1
0.14,AFFORD,0.152563986998992,6
0.14,TRUST,0.6896755337756163,5
0.14,ADOPT,0.9024354496198923,3
0.15,GOV,0.8455492230510746,4
0.15,CONN,0.9855904874494018,2
0.15,SKILL,1.0,1
0.15,AFFORD,0.15714364650587911,6
0.15,TRUST,0.6911572803710258,5
0.15,ADOPT,0.8990189749972679,3
0.16,GOV,0.8483462767386395,4
0.16,CONN,0.9844705710658828,2
0.16,SKILL,1.0,1
0.16,AFFORD,0.16172295226620403,6
0.16,TRUST,0.6926328132551993,5
0.16,ADOPT,0.8955963029282693,3
0.17,GOV,0.8511300339658117,4
0.17,CONN,0.9833511296922963,2
0.17,SKILL,1.0,1
0.17,AFFORD,0.16630184179975183,6
0.17,TRUST,0.6941021326192892,5
0.17,ADOPT,0.8921675464808637,3
0.18,GOV,0.8539005826025555,4
0.18,CONN,0.9822321999603341,2
0.18,SKILL,1.0,1
0.18,AFFORD,0.17088025348411687,6
0.18,TRUST,0.6955652390112415,5
0.18,ADOPT,0.888732817393755,3
0.19,GOV,0.8566580096652004,4
0.19,CONN,0.9811138178426052,2
0.19,SKILL,1.0,1
0.19,AFFORD,0.17545812654261442,6
0.19,TRUST,0.6970221333287686,5
0.19,ADOPT,0.8852922260941164,3
0.2,GOV,0.8594024013279256,4
0.2,CONN,0.9799960186636462,2
0.2,SKILL,1.0,1
0.2,AFFORD,0.18003540103239443,6
0.2,TRUST,0.698472816812448,5
0.2,ADOPT,0.8818458817150379,3
0.21,GOV,0.8621338429340512,4
0.21,CONN,0.9788788371107231,2
0.21,SKILL,1.0,1
0.21,AFFORD,0.18461201783275433,6
