lambda,relative_score,rank
0.0,0.9472571428571428,3
0.01,0.9450059889680157,3
0.02,0.9427420068186853,3
0.03,0.939573915270011,3
0.04,0.936233473888038,3
0.05,0.932885498198812,3
0.06,0.9295301171520953,3
0.07,0.9261674581523135,3
0.08,0.9227976470799113,3
0.09,0.9194208083123461,3
0.1,0.9160370647447226,3
0.11,0.9126465378100781,3
0.12,0.909249347499329,3
0.13,0.9058456123808768,3
0.14,0.9024354496198923,3
0.15,0.8990189749972679,3
0.16,0.8955963029282693,3
0.17,0.8921675464808637,3
0.18,0.888732817393755,3
0.19,0.8852922260941164,3
0.2,0.8818458817150379,3
0.21,0.8783938921126815,3
0.22,0.8749363638831655,3
0.23,0.8714734023791674,3
0.24,0.8680051117262644,4
0.25,0.8645315948390032,4
0.26,0.8610529534367222,4
0.27,0.8575692880591084,4
0.28,0.8540806980815178,4
0.29,0.8505872817300437,4
0.3,0.8470891360963521,4
0.31,0.8435863571522767,4
0.32,0.8400790397641925,4
0.33,0.8365672777071578,4
0.34,0.8330511636788359,4
0.35,0.8295307893132038,4
0.36,0.8260062451940448,4
0.37,0.8224776208682317,4
0.38,0.8189450048588112,4
0.39,0.815408484677878,4
0.4,0.8118681468392598,4
0.41,0.8083240768710065,4
0.42,0.8047763593276863,4
0.43,0.8012250778024995,4
0.44,0.7976703149392086,4
0.45,0.794112152443884,4
0.46,0.7905506710964828,4
0.47,0.786985950762245,4
0.48,0.783418070402924,4
0.49,0.7798471080878512,4
0.5,0.7762731410048347,4
0.51,0.7726962454708972,4
0.52,0.7691164969428574,4
0.53,0.7655339700277549,4
0.54,0.7619487384931213,4
0.55,0.7583608752771059,4
0.56,0.7547704524984493,4
0.57,0.7511775414663158,4
0.58,0.7475822126899827,5
0.59,0.7439845358883899,5
0.6,0.7403845799995533,5
0.61,0.7367824131898436,5
0.62,0.7331781028631306,5
0.63,0.729571715669801,5
0.64,0.7259633175156457,5
0.65,0.722352973570623,5
0.66,0.7187407482774978,5
0.67,0.71512670536036,5
0.68,0.7115109078330218,5
0.69,0.7078934180073021,5
0.7,0.7042742975011905,5
0.71,0.7006536072469011,5
0.72,0.6970314074988152,5
0.73,0.6934077578413133,5
0.74,0.689782717196499,5
0.75,0.6861563438318187,5
0.76,0.6825286953675763,5
0.77,0.6788998287843458,5
0.78,0.6752698004302823,5
0.79,0.671002075062052,5
0.8,0.6659802766163385,5
