lambda,relative_score,rank
0.0,0.0882352941176469,6
0.01,0.0929057912043398,6
0.02,0.09758740256829256,6
0.03,0.10218315116900109,6
0.04,0.10676232011597463,6
0.05,0.11134188288759213,6
0.06,0.11592176670749728,6
0.07,0.12050189980477075,6
0.08,0.1250822113993124,6
0.09,0.12966263168747805,6
0.1,0.1342430918279654,6
0.11,0.13882352392794395,6
0.12,0.1434038610294246,6
0.13,0.14798403709586302,6
0.14,0.152563986998992,6
0.15,0.15714364650587911,6
0.16,0.16172295226620403,6
0.17,0.16630184179975183,6
0.18,0.17088025348411687,6
0.19,0.17545812654261442,6
0.2,0.18003540103239443,6
0.21,0.18461201783275433,6
0.22,0.18918791863364673,6
0.23,0.19376304592437746,6
0.24,0.19833734298249142,6
0.25,0.20291075386284105,6
0.26,0.2074832233868353,6
0.27,0.21205469713186384,6
0.28,0.21662512142089504,6
0.29,0.22119444331224278,6
0.3,0.2257626105894995,6
0.31,0.23032957175163185,6
0.32,0.23489527600323634,6
0.33,0.23945967324495138,6
0.34,0.24402271406402343,6
0.35,0.24858434972502252,6
0.36,0.2531445321607077,6
0.37,0.25770321396303475,6
0.38,0.2622603483743087,6
0.39,0.26681588927847405,6
0.4,0.2713697911925425,6
0.41,0.27592200925815524,6
0.42,0.2804724992332768,6
0.43,0.2850212174840176,6
0.44,0.28956812097658485,6
0.45,0.29411316726935616,6
0.46,0.29865631450507774,6
0.47,0.30319752140317974,6
0.48,0.30773674725221173,6
0.49,0.31227395190239315,6
0.5,0.31680909575827604,6
0.51,0.3213421397715213,6
0.52,0.32587304543378287,6
0.53,0.3304017747696997,6
0.54,0.3349282903299931,6
0.55,0.3394525551846687,6
0.56,0.3439745329163179,6
0.57,0.3484941876135223,6
0.58,0.35301148386435316,6
0.59,0.3575263867499696,6
0.6,0.36203886183831024,6
0.61,0.36654887517787815,6
0.62,0.37105639329161727,6
0.63,0.3755613831708789,6
0.64,0.380063812269475,6
0.65,0.3845636484978205,6
0.66,0.38906086021715813,6
0.67,0.3935554162338697,6
0.68,0.3980472857938663,6
0.69,0.4025364385770624,6
0.7,0.4070228446919283,6
0.71,0.411506474670119,6
0.72,0.41598729946118285,6
0.73,0.4204652904273428,6
0.74,0.4249404193383538,6
0.75,0.42941265836643144,6
0.76,0.43388198008125395,6
0.77,0.4383483574450334,6
0.78,0.4428117638076561,6
0.79,0.44684824045258414,6
0.8,0.45035936813576266,6
