lambda,relative_score,rank
0.0,1.0,1
0.01,1.0,1
0.02,1.0,1
0.03,0.9990522504878823,2
0.04,0.997929747137661,2
0.05,0.9968072235028713,2
0.06,0.9956847250634955,2
0.07,0.9945622964906903,2
0.08,0.993439981660627,2
0.09,0.9923178236680582,2
0.1,0.9911958648396314,2
0.11,0.9900741467469429,2
0.12,0.9889527102193518,2
0.13,0.9878315953565443,2
0.14,0.9867108415408626,2
0.15,0.9855904874494018,2
0.16,0.9844705710658828,2
0.17,0.9833511296922963,2
0.18,0.9822321999603341,2
0.19,0.9811138178426052,2
0.2,0.9799960186636462,2
0.21,0.9788788371107231,2
0.22,0.977762307244438,2
0.23,0.9766464625091391,2
0.24,0.9755313357431367,2
0.25,0.9744169591887337,2
0.26,0.9733033645020767,2
0.27,0.9721905827628192,2
0.28,0.9710786444836159,2
0.29,0.9699675796194421,2
0.3,0.9688574175767459,2
0.31,0.9677481872224318,2
0.32,0.9666399168926868,2
0.33,0.9655326344016466,2
0.34,0.9644263670499041,2
0.35,0.963321141632871,2
0.36,0.9622169844489863,2
0.37,0.9611139213077783,2
0.38,0.9600119775377894,2
0.39,0.958911177994354,2
0.4,0.9578115470672439,2
0.41,0.956713108688176,2
0.42,0.9556158863381916,2
0.43,0.9545199030549025,2
0.44,0.9534251814396159,2
0.45,0.9523317436643268,2
0.46,0.9512396114786008,2
0.47,0.9501488062163246,2
0.48,0.9490593488023498,2
0.49,0.9479712597590173,2
0.5,0.9468845592125692,2
0.51,0.9457992668994536,2
0.52,0.944715402172517,2
0.53,0.9436329840070965,2
0.54,0.942552031007002,3
0.55,0.9414725614104011,3
0.56,0.9403945930956018,3
0.57,0.939318143586739,3
0.58,0.9382432300593624,3
0.59,0.9371698693459332,3
0.6,0.9360980779412251,3
0.61,0.935027872007639,3
0.62,0.9339592673804221,3
0.63,0.932892279572808,3
0.64,0.9318269237810631,3
0.65,0.9307632148894558,3
0.66,0.9297011674751371,3
0.67,0.928640795812947,3
0.68,0.9275821138801336,3
0.69,0.9265251353610027,3
0.7,0.9254698736514838,3
0.71,0.9244163418636251,3
0.72,0.9233645528300138,3
0.73,0.9223145191081243,3
0.74,0.9212662529845946,3
0.75,0.9202197664794332,3
0.76,0.9191750713501594,3
0.77,0.9181321790958744,3
0.78,0.9170911009612663,3
0.79,0.9151835978523096,3
0.8,0.9122389996820343,3
