lambda,relative_score,rank
0.0,0.8,4
0.01,0.8039003332909676,4
0.02,0.8077948264504486,4
0.03,0.8109142523251419,4
0.04,0.8138780446890076,4
0.05,0.8168274151071938,4
0.06,0.8197624626651027,4
0.07,0.8226832854400811,4
0.08,0.8255899805155582,4
0.09,0.8284826439949391,4
0.1,0.8313613710152506,4
0.11,0.8342262557605565,4
0.12,0.8370773914751377,4
0.13,0.8399148704764466,4
0.14,0.842738784167837,4
0.15,0.8455492230510746,4
0.16,0.8483462767386395,4
0.17,0.8511300339658117,4
0.18,0.8539005826025555,4
0.19,0.8566580096652004,4
0.2,0.8594024013279256,4
0.21,0.8621338429340512,4
0.22,0.8648524190071373,4
0.23,0.8675582132619006,4
0.24,0.8702513086149455,3
0.25,0.8729317871953164,3
0.26,0.8755997303548787,3
0.27,0.8782552186785207,3
0.28,0.8808983319941935,3
0.29,0.8835291493827833,3
0.3,0.8861477491878185,3
0.31,0.8887542090250222,3
0.32,0.8913486057917058,3
0.33,0.8939310156760114,3
0.34,0.8965015141660012,3
0.35,0.8990601760586032,3
0.36,0.9016070754684107,3
0.37,0.9041422858363384,3
0.38,0.9066658799381426,3
0.39,0.9091779298928032,3
0.4,0.9116785071707716,3
0.41,0.914167682602088,3
0.42,0.9166455263843696,3
0.43,0.9191121080906722,3
0.44,0.9215674966772273,3
0.45,0.9240117604910572,3
0.46,0.9264449672774736,3
0.47,0.9288671841874531,3
0.48,0.9312784777849026,3
0.49,0.9336789140538095,3
0.5,0.9360685584052801,3
0.51,0.938447475684472,3
0.52,0.9408157301774149,3
0.53,0.9431733856177323,3
0.54,0.945520505193254,2
0.55,0.9478571515525319,2
0.56,0.9501833868112535,2
0.57,0.9524992725585606,2
0.58,0.9548048698632687,2
0.59,0.9571002392799954,2
0.6,0.9593854408551947,2
0.61,0.9616605341331008,2
0.62,0.9639255781615819,2
0.63,0.9661806314979093,2
0.64,0.9684257522144368,2
0.65,0.9706609979041974,2
0.66,0.9728864256864177,2
0.67,0.9751020922119502,2
0.68,0.977308053668622,2
0.69,0.9795043657865133,2
0.7,0.981691083843148,2
0.71,0.9838682626686169,2
0.72,0.9860359566506219,2
0.73,0.9881942197394474,2
0.74,0.9903431054528605,2
0.75,0.9924826668809402,2
0.76,0.9946129566908358,2
0.77,0.9967340271314588,2
0.78,0.9988459300381054,2
0.79,1.0,1
0.8,1.0,1
