lambda,relative_score,rank
0.0,0.6666666666666667,5
0.01,0.6689803143227009,5
0.02,0.6712930886001734,5
0.03,0.6729665409334216,5
0.04,0.6745165414898531,5
0.05,0.6760603519252433,5
0.06,0.6775979680033379,5
0.07,0.6791293859311016,5
0.08,0.6806546023501171,5
0.09,0.6821736143281436,5
0.1,0.6836864193508279,5
0.11,0.6851930153135659,5
0.12,0.686693400513519,5
0.13,0.6881875736417682,5
0.14,0.6896755337756163,5
0.15,0.6911572803710258,5
0.16,0.6926328132551993,5
0.17,0.6941021326192892,5
0.18,0.6955652390112415,5
0.19,0.6970221333287686,5
0.2,0.698472816812448,5
0.21,0.6999172910389462,5
0.22,0.7013555579143634,5
0.23,0.702787619667699,5
0.24,0.7042134788444309,5
0.25,0.7056331383002135,5
0.26,0.7070466011946868,5
0.27,0.7084538709853938,5
0.28,0.7098549514218091,5
0.29,0.7112498465394732,5
0.3,0.7126385606542295,5
0.31,0.7140210983565639,5
0.32,0.7153974645060458,5
0.33,0.716767664225867,5
0.34,0.7181317028974755,5
0.35,0.7194895861553061,5
0.36,0.7208413198816043,5
0.37,0.7221869102013359,5
0.38,0.7235263634771942,5
0.39,0.7248596863046898,5
0.4,0.7261868855073256,5
0.41,0.7275079681318606,5
0.42,0.728822941443653,5
0.43,0.7301318129220856,5
0.44,0.7314345902560734,5
0.45,0.7327312813396435,5
0.46,0.734021894267601,5
0.47,0.7353064373312619,5
0.48,0.7365849190142648,5
0.49,0.7378573479884548,5
0.5,0.7391237331098375,5
0.51,0.7403840834146042,5
0.52,0.7416384081152266,5
0.53,0.7428867165966178,5
0.54,0.7441290184123595,5
0.55,0.7453653232809968,5
0.56,0.7465956410823936,5
0.57,0.7478199818541549,5
0.58,0.7490383557881053,4
0.59,0.7502507732268353,4
0.6,0.7514572446603005,4
0.61,0.7526577807224836,4
0.62,0.7538523921881113,4
0.63,0.7550410899694296,4
0.64,0.7562238851130334,4
0.65,0.7574007887967504,4
0.66,0.7585718123265791,4
0.67,0.7597369671336798,4
0.68,0.7608962647714145,4
0.69,0.7620497169124419,4
0.7,0.7631973353458588,4
0.71,0.7643391319743903,4
0.72,0.7654751188116318,4
0.73,0.7666053079793332,4
0.74,0.7677297117047338,4
0.75,0.7688483423179399,4
0.76,0.7699612122493493,4
0.77,0.7710683340271185,4
0.78,0.772169720274673,4
0.79,0.7725324691476408,4
0.8,0.7720065546319936,4
